"","episode_overall","aired_date","year","season","episode","title","directed_by","written_by","us_viewers_millions"
"216","216",2021-05-23,2021,11,"22","""Vampire Disco Death Dance""","Tom Riggin","Steven Davis",0.98
"217","217",2021-09-26,2021,12,"1","""Manic Pixie Crap Show""","Ryan Mattos","Nora Smith",1.6
"218","218",2021-10-03,2021,12,"2","""Crystal Mess""","Tom Riggin","Holly Schlesinger",1.14
"219","219",2021-10-10,2021,12,"3","""The Pumpkinening""","Chris Song","Kelvin Yu",1.77
"220","220",2021-10-17,2021,12,"4","""Driving Big Dummy""","Mathew Long","Jon Schroeder",1.17
"221","221",2021-10-24,2021,12,"5","""Seven-tween Again""","Simon Chong","Rich Rinaldi",1.2
"222","222",2021-11-07,2021,12,"6","""Beach, Please""","Ryan Mattos","Scott Jacobson",1.48
"223","223",2021-11-14,2021,12,"7","""Loft in Bedslation""","Matthew Long","Jameel Saleem",1.16
"224","224",2021-11-21,2021,12,"8","""Stuck in the Kitchen with You""","Tom Riggin","Dan Fybel",1.84
"225","225",2021-11-28,2021,12,"9","""FOMO You Didn't""","Simon Chong","Holly Schlesinger",1.62
"226","226",2021-12-19,2021,12,"10","""Gene's Christmas Break""","Chris Song","Katie Crown",1.6
"227","227",2022-01-09,2022,12,"11","""Touch of Eval(uations)""","Ryan Mattos","Greg Thompson",1.42
"228","228",2022-02-27,2022,12,"12","""Ferry on My Wayward Bob and Linda""","Matthew Long","Scott Jacobson",1.18
"229","229",2022-03-06,2022,12,"13","""Frigate Me Knot""","Chris Song","Rich Rinaldi",1.15
"230","230",2022-03-13,2022,12,"14","""Video Killed the Gene-io Star""","Tom Riggin","Jon Schroeder",0.95
"231","231",2022-03-20,2022,12,"15","""Ancient Misbehavin""","Simon Chong","Dan Fybel",1.01
"232","232",2022-03-27,2022,12,"16","""Interview with a Pop-pop-pire""","Ryan Mattos","Katie Crown",1.05
"233","233",2022-04-10,2022,12,"17","""The Spider House Rules""","Tom Riggin & Ryan Mattos","Jameel Saleem",0.88
"234","234",2022-04-24,2022,12,"18","""Clear and Present Ginger""","Chris Song","Lizzie Molyneux-Logelin & Wendy Molyneux",0.89
"235","235",2022-05-01,2022,12,"19","""A-Sprout a Boy""","Matthew Long","Holly Schlesinger",1.02
"236","236",2022-05-08,2022,12,"20","""Sauce Side Story""","Simon Chong & Tom Riggin","Steven Davis",0.92
"237","237",2022-05-15,2022,12,"21","""Eighth Grade Runner""","Simon Chong","Loren Bouchard & Nora Smith",1.01
"238","238",2022-05-22,2022,12,"22","""Judge-bot Day""","Ryan Mattos","Loren Bouchard & Nora Smith",0.93
